codigoUasg,nomeUasg,usoSisg,adesaoSiasg,siglaUf,codigoMunicipio,codigoMunicipioIbge,nomeMunicipioIbge,codigoUnidadePolo,nomeUnidadePolo,codigoUnidadeEspelho,nomeUnidadeEspelho,uasgCadastradora,cnpjCpfUasg,codigoOrgao,cnpjCpfOrgao,cnpjCpfOrgaoVinculado,cnpjCpfOrgaoSuperior,codigoSiorg,statusUasg,dataImplantacaoSidec,dataHoraMovimento
026289,GERêNCIA DE FILIAL LOGíSTICA EM RECIFE,False,True,PE,25313,2611606.0,RECIFE,0,,0,,False,,25220,70000000013074,00394460000141,00394411000109,,True,2013-05-28T03:00:00.000+00:00,2013-05-28T15:59:00
086626,INSTITUTO DE PREVID DOS SERVID MUN DE POMBOS,False,True,PE,25259,2611309.0,POMBOS,0,,0,,False,,86626,07080825000102,11049848000121,10571982000125,,True,2025-04-02T03:00:00.000+00:00,2025-04-02T14:28:00
514190,FRGPS - APS ARARIPINA,False,False,PE,23213,2601102.0,ARARIPINA,0,,0,,False,,37904,16727230000197,,,,True,2017-06-21T03:00:00.000+00:00,2017-12-16T15:56:00
931101,CâMARA MUNICIPAL DE GOIANA-PE,False,True,PE,24236,2606200.0,GOIANA,0,,0,,False,,94630,11408655000110,,,,True,2024-03-05T03:00:00.000+00:00,2024-03-05T15:59:00
975134,FUNDO MUNICIPAL DE SAUDE CEDRO,False,True,PE,23850,2604304.0,CEDRO,0,,0,,False,,87833,12424026000146,,,,True,,2024-08-17T17:47:00
975131,FUNDO MUNICIPAL DE SAUDE SÃO JOÃO,False,True,PE,25631,2613206.0,SÃO JOÃO,0,,0,,False,,87830,03061099000120,,,,True,,2024-08-17T17:47:00
975124,FUNDO MUNICIPAL DE SAUDE MANARI,False,True,PE,5541,2609154.0,MANARI,0,,0,,False,,87823,11819732000124,,,,True,,2024-08-17T17:47:00
975121,FUNDO MUNICIPAL DE SAUDE JAQUEIRA,False,True,PE,5487,2607950.0,JAQUEIRA,0,,0,,False,,87820,09471844000195,,,,True,,2024-08-17T17:47:00
975137,FUNDO MUNICIPAL DE SAUDE OURICURI,False,True,PE,24970,2609907.0,OURICURI,0,,0,,False,,87836,11434981000100,,,,True,,2024-08-17T17:47:00
089232,UNIVERSIDADE DE PERNAMBUCO - CAMPUS PETROLINA,False,True,PE,25216,2611101.0,PETROLINA,0,,0,,False,,89232,11022597001082,10571982000125,0,,True,2025-07-04T03:00:00.000+00:00,2025-07-04T14:25:00
974417,FUNDO MUNICIPAL DE SAUDE MORENO,False,True,PE,24872,2609402.0,MORENO,0,,0,,False,,87116,08560938000178,,,,True,,2024-08-03T17:47:00
975112,FUNDO MUNICIPAL DE SAUDE BETÂNIA,False,True,PE,23353,2601805.0,BETÂNIA,0,,0,,False,,87811,19259219000138,,,,True,,2024-08-17T17:47:00
113211,CENTRO REG. DE CIENCIAS NUCLEARES DO NORDESTE,True,True,PE,25313,2611606.0,RECIFE,113209,COMISSAO NACIONAL DE ENERGIA NUCLEAR,0,,False,,20301,00402552000126,01263896000164,00394411000109,20756,True,2009-02-17T03:00:00.000+00:00,2025-07-04T16:06:00
110096,SUPERINT. DE ADMINISTRACAO EM PERNAMBUCO,True,True,PE,25313,2611606.0,RECIFE,110061,COORDENACAO-GERAL DE SERVICOS GERAIS,0,,True,,20114,26994558000123,00394411000109,00394411000109,56851,True,2000-12-20T02:00:00.000+00:00,2025-02-04T14:32:00
120007,PREFEITURA DA AERONAUTICA DE RECIFE,False,True,PE,25313,2611606.0,RECIFE,0,,0,,False,,52111,00394429000100,03277610000125,00394411000109,,True,1999-07-15T03:00:00.000+00:00,2025-05-06T18:30:00
060004,AUDITORIA DA 7A. CJM/PE,False,True,PE,25313,2611606.0,RECIFE,0,,0,,False,497552001803,13003,00497552001803,,,A1444,True,1999-07-15T03:00:00.000+00:00,2025-02-21T18:06:00
125140,CENTRO DE SUPORTE ADMINISTRATIVO DE RECIFE,False,True,PE,25313,2611606.0,RECIFE,125001,INFRAERO CENTRO CORPORATIVO/SEDE,0,,False,,20213,00352294000110,49582441000138,00394411000109,,True,1999-07-15T03:00:00.000+00:00,2025-01-21T08:12:00
975120,FUNDO MUNICIPAL DE SAUDE ITAÍBA,False,True,PE,24490,2607505.0,ITAÍBA,0,,0,,False,,87819,11826158000131,,,,True,,2024-08-17T17:47:00
125142,AEROPORTO DE RECIFE/SBRF,False,True,PE,25313,2611606.0,RECIFE,125001,INFRAERO CENTRO CORPORATIVO/SEDE,0,,False,,20213,00352294000110,49582441000138,00394411000109,,True,1999-07-15T03:00:00.000+00:00,2025-01-21T08:12:00
125141,AEROPORTO DE PETROLINA/SBPL,False,True,PE,25216,2611101.0,PETROLINA,125001,INFRAERO CENTRO CORPORATIVO/SEDE,0,,False,,20213,00352294000110,49582441000138,00394411000109,,True,1999-07-15T03:00:00.000+00:00,2025-01-21T08:12:00
151909,INSTITUTO FED. DE PERNAMBUCO/CAMPUS CARUARU,True,True,PE,23817,2604106.0,CARUARU,158136,"INST.FED.DE EDUC.,CIENC.E TEC.DE PERNAMBUCO",0,,True,,26418,10767239000145,00394445000101,00394411000109,103815,True,2010-08-31T03:00:00.000+00:00,2018-12-15T15:38:00
125402,EPTA PETROLINA,False,True,PE,25216,2611101.0,PETROLINA,125001,INFRAERO CENTRO CORPORATIVO/SEDE,0,,False,,20213,00352294000110,49582441000138,00394411000109,,True,2014-04-02T03:00:00.000+00:00,2025-01-21T15:56:00
152771,SUPERINTEND. DE SEGURANÇA INSTITUC. DA UFPE,True,True,PE,25313,2611606.0,RECIFE,0,,0,,True,,26242,24134488000108,00394445000101,00394411000109,00266414,True,2012-10-02T03:00:00.000+00:00,2025-01-13T12:29:00
154716,HOSP. ENSINO - UNIFASF,True,True,PE,25216,2611101.0,PETROLINA,154421,FUND. UNIVERSIDADE FEDERAL VALE SAO FRANCISCO,0,,False,,26230,05440725000114,00394445000101,00394411000109,124959,True,2014-01-15T02:00:00.000+00:00,2025-07-07T10:56:00
155022,HOSPITAL DAS CLINICAS DE PERNAMBUCO,False,True,PE,25313,2611606.0,RECIFE,155007,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,0,,False,,26443,15126437000305,00394544000185,00394411000109,201441,True,2014-06-05T03:00:00.000+00:00,2025-03-18T17:23:00
154849,IFPE/CAMPUS CABO DE SANTO AGOSTINHO,True,True,PE,23574,2602902.0,CABO DE SANTO AGOSTINHO,158136,"INST.FED.DE EDUC.,CIENC.E TEC.DE PERNAMBUCO",0,,True,,26418,10767239000145,00394445000101,00394411000109,123863,True,2014-03-06T03:00:00.000+00:00,2014-05-26T08:06:00
151910,INSTITUTO FED.DE PERNAMBUCO/CAMPUS GARANHUNS,True,True,PE,24198,2606002.0,GARANHUNS,158136,"INST.FED.DE EDUC.,CIENC.E TEC.DE PERNAMBUCO",0,,True,,26418,10767239000145,00394445000101,00394411000109,110130,True,2010-08-31T03:00:00.000+00:00,2022-12-17T19:45:00
155341,IF DE PERNAMBUCO ABREU E LIMA,True,True,PE,26310,2600054.0,ABREU E LIMA,0,,0,,False,,26418,10767239000145,00394445000101,00394411000109,203509,True,2015-02-10T02:00:00.000+00:00,2023-06-22T08:04:00
151911,INST.FED.PERNAMBUCO/CAMPUS AF.INGAZEIRA,True,True,PE,23019,2600104.0,AFOGADOS DA INGAZEIRA,158136,"INST.FED.DE EDUC.,CIENC.E TEC.DE PERNAMBUCO",0,,True,,26418,10767239000145,00394445000101,00394411000109,110129,True,2010-08-31T03:00:00.000+00:00,2024-02-05T11:29:00
155217,INST FED.EDUC.CIEN. TEC. PE CAMPUS PAULISTA,True,True,PE,25135,2610707.0,PAULISTA,158136,"INST.FED.DE EDUC.,CIENC.E TEC.DE PERNAMBUCO",0,,True,,26418,10767239000145,00394445000101,00394411000109,202865,True,2015-01-16T02:00:00.000+00:00,2025-03-28T13:11:00
155228,INST FED. CIENC. TEC PE CAMPUS IGARASSU,True,True,PE,24350,2606804.0,IGARASSU,158136,"INST.FED.DE EDUC.,CIENC.E TEC.DE PERNAMBUCO",0,,True,,26418,10767239000145,00394445000101,00394411000109,202866,True,2015-01-19T02:00:00.000+00:00,2015-05-05T18:02:00
156661,CENTRO DE CIENCIAS MEDICAS DA UFPE,True,True,PE,25313,2611606.0,RECIFE,0,,0,,False,,26242,24134488000108,00394445000101,00394411000109,,True,2019-11-05T03:00:00.000+00:00,2020-12-20T17:32:00
158463,INST FED.DE PERNAMBUCO/CAMPUS IPOJUCA,True,True,PE,24430,2607208.0,IPOJUCA,158136,"INST.FED.DE EDUC.,CIENC.E TEC.DE PERNAMBUCO",0,,True,,26418,10767239000145,00394445000101,00394411000109,123864,True,2010-01-18T02:00:00.000+00:00,2024-06-21T11:49:00
158464,INST FED.DE PERNAMBUCO/CAMPUS RECIFE,True,True,PE,25313,2611606.0,RECIFE,158136,"INST.FED.DE EDUC.,CIENC.E TEC.DE PERNAMBUCO",0,,True,,26418,10767239000145,00394445000101,00394411000109,440,True,,2020-12-20T12:23:00
154728,PROCIT-UFPE,True,True,PE,25313,2611606.0,RECIFE,0,,0,,True,,26242,24134488000108,00394445000101,00394411000109,,True,2013-08-22T03:00:00.000+00:00,2014-10-20T15:29:00
155180,HOSP ENS DR WASHINGTON ANTONIO BARROS,False,True,PE,25216,2611101.0,PETROLINA,155007,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,0,,False,,26443,15126437000305,00394544000185,00394411000109,201447,True,2014-12-11T02:00:00.000+00:00,2025-03-18T17:23:00
158568,INST.FED.DO SERTÃO PERNAMB/CAMPUS SALGUEIRO,True,True,PE,25437,2612208.0,SALGUEIRO,0,,0,,True,,26430,10830301000104,00394445000101,00394411000109,105247,True,2011-01-24T02:00:00.000+00:00,2023-04-18T16:27:00
