idCompra,numeroControlePNCP,anoCompraPncp,sequencialCompraPncp,orgaoEntidadeCnpj,orgaoSubrogadoCnpj,codigoOrgao,orgaoEntidadeRazaoSocial,orgaoSubrogadoRazaoSocial,orgaoEntidadeEsferaId,orgaoSubrogadoEsferaId,orgaoEntidadePoderId,orgaoSubrogadoPoderId,unidadeOrgaoCodigoUnidade,unidadeSubrogadaCodigoUnidade,unidadeOrgaoNomeUnidade,unidadeSubrogadaNomeUnidade,unidadeOrgaoUfSigla,unidadeSubrogadaUfSigla,unidadeOrgaoMunicipioNome,unidadeSubrogadaMunicipioNome,unidadeOrgaoCodigoIbge,unidadeSubrogadaCodigoIbge,numeroCompra,modalidadeIdPncp,codigoModalidade,modalidadeNome,srp,modoDisputaIdPncp,codigoModoDisputa,amparoLegalCodigoPncp,amparoLegalNome,amparoLegalDescricao,informacaoComplementar,processo,objetoCompra,existeResultado,orcamentoSigilosoCodigo,orcamentoSigilosoDescricao,situacaoCompraIdPncp,situacaoCompraNomePncp,tipoInstrumentoConvocatorioCodigoPncp,tipoInstrumentoConvocatorioNome,modoDisputaNomePncp,valorTotalEstimado,valorTotalHomologado,dataInclusaoPncp,dataAtualizacaoPncp,dataPublicacaoPncp,dataAberturaPropostaPncp,dataEncerramentoPropostaPncp,contratacaoExcluida,fonte
38919505000012023,09791450000114-1-000001/2023,2023,1,09791450000114,,4243,CONSELHO REGIONAL DE MEDICINA VETERINARIA DE PERNAMBUCO CRMV-PE,,F,,E,,389195,,CONSELHO REG. DE MEDICINA VETERINARIA DE PE,,PE,,RECIFE,,2611606,,00001,6,5,Pregão - Eletrônico,False,1,1,1,"Lei 14.133/2021, Art. 28, I",pregão: modalidade de licitação obrigatória para aquisição de bens e serviços comuns,"ATENÇÃO: Esta licitação é exclusiva para ME/EPP/Equiparadas, tendo em vista que apenas o item 1 (taxa de agenciamento) será objeto de lances. O item 2 corresponde ao valor estimado a ser repassado às Cias Aéreas, e não poderá ser alterado. Por razões de funcionalidade do comprasnet, para que fosse possível incluir os dois itens em um grupo único, foi necessário retirar do item 1 a exclusividade para ME/EPP, todavia, está garantido o tratamento diferenciado previsto na LC123/06. Para as respostas de esclarecimentos e impugnações deste edital acesse o link: https://www.comprasnet.gov.br/acesso.asp?url=/quadro-389195-05-00001-2023",0370024.00000017,"Contratação de empresa especializada na prestação de serviços de agenciamento de viagens para cotação, reserva, emissão, remarcação e cancelamento de passagens aéreas nacionais / internacionais destinadas ao atendimento de demandas do Conselho Regional de Medicina Veterinária de Pernambuco - CRMV-PE - UASG 389195.",True,1,Compra sem sigilo,1,Divulgada no PNCP,1,Edital,Aberto,94740.6,92341.2,2023-01-12T07:01:54,2023-01-12T07:01:54,2023-01-12T07:01:54,2023-01-12T08:00:00,2023-01-26T09:00:00,False,14133
15518005000572022,15126437000143-1-000842/2022,2022,842,15126437000143,,95159,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,,F,,E,,155180,,HOSP ENS DR WASHINGTON ANTONIO BARROS,,PE,,PETROLINA,,2611101,,00057,6,5,Pregão - Eletrônico,False,1,1,1,"Lei 14.133/2021, Art. 28, I",pregão: modalidade de licitação obrigatória para aquisição de bens e serviços comuns, Para as respostas de esclarecimentos e impugnações deste edital acesse o link: https://www.comprasnet.gov.br/acesso.asp?url=/quadro-155180-05-00057-2022,23542010462202227,"Contratação de empresas para fornecimento de Órteses, Próteses e Materiais Especiais (OPMEs).",True,1,Compra sem sigilo,1,Divulgada no PNCP,1,Edital,Aberto,0.0,386717.83,2023-01-13T11:43:40,2023-01-13T11:43:40,2023-01-13T11:43:40,2023-01-13T08:00:00,2023-01-25T09:00:00,False,14133
15518005000022023,15126437000143-1-000043/2023,2023,43,15126437000143,,95159,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,,F,,E,,155180,,HOSP ENS DR WASHINGTON ANTONIO BARROS,,PE,,PETROLINA,,2611101,,00002,6,5,Pregão - Eletrônico,False,1,1,1,"Lei 14.133/2021, Art. 28, I",pregão: modalidade de licitação obrigatória para aquisição de bens e serviços comuns, Para as respostas de esclarecimentos e impugnações deste edital acesse o link: https://www.comprasnet.gov.br/acesso.asp?url=/quadro-155180-05-00002-2023,23542007482202211,"Contratação de empresas para fornecimento de Órteses, Próteses e Materiais Especiais (OPMEs).",True,1,Compra sem sigilo,1,Divulgada no PNCP,1,Edital,Aberto,0.0,263729.6,2023-01-20T07:00:56,2023-01-20T07:00:56,2023-01-20T07:00:56,2023-01-20T08:00:00,2023-02-01T09:00:00,False,14133
15518005000322022,15126437000143-1-000846/2022,2022,846,15126437000143,,95159,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,,F,,E,,155180,,HOSP ENS DR WASHINGTON ANTONIO BARROS,,PE,,PETROLINA,,2611101,,00032,6,5,Pregão - Eletrônico,False,1,1,1,"Lei 14.133/2021, Art. 28, I",pregão: modalidade de licitação obrigatória para aquisição de bens e serviços comuns, Para as respostas de esclarecimentos e impugnações deste edital acesse o link: https://www.comprasnet.gov.br/acesso.asp?url=/quadro-155180-05-00032-2022,23542004397202209,"Contratação de pessoa jurídica especializada na prestação de serviços, de natureza continuada e sem dedicação exclusiva de mão de obra, para processamento de enxoval hospitalar.",True,1,Compra sem sigilo,1,Divulgada no PNCP,1,Edital,Aberto,0.0,996000.0,2023-01-23T07:01:18,2023-01-23T07:01:18,2023-01-23T07:01:18,2023-01-23T08:00:00,2023-02-13T09:00:00,False,14133
38919505000022023,09791450000114-1-000002/2023,2023,2,09791450000114,,4243,CONSELHO REGIONAL DE MEDICINA VETERINARIA DE PERNAMBUCO CRMV-PE,,F,,E,,389195,,CONSELHO REG. DE MEDICINA VETERINARIA DE PE,,PE,,RECIFE,,2611606,,00002,6,5,Pregão - Eletrônico,False,1,1,1,"Lei 14.133/2021, Art. 28, I",pregão: modalidade de licitação obrigatória para aquisição de bens e serviços comuns,Edital disponível em https://transparencia.crmvpe.org.br/pregao-eletronico/. Informações gerais: licitacao@crmvpe.org.br / informatica@crmvpe.org.br / (81) 99311-7849 - WhatsApp. Para as respostas de esclarecimentos e impugnações deste edital acesse o link: https://www.comprasnet.gov.br/acesso.asp?url=/quadro-389195-05-00002-2023,0370033.00000037,Aquisição de equipamentos e materiais de informática.,True,1,Compra sem sigilo,1,Divulgada no PNCP,1,Edital,Aberto,24246.28,21061.05,2023-01-27T07:01:28,2023-01-27T07:01:28,2023-01-27T07:01:28,2023-01-27T08:00:00,2023-02-10T09:00:00,False,14133
13002506000162022,00396895000125-1-000519/2022,2022,519,00396895000125,,47089,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",,F,,E,,130025,,SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.,,PE,,RECIFE,,2611606,,00016,8,6,Dispensa,False,5,5,19,"Lei 14.133/2021, Art. 75, II","Dispensa de Licitação: para contratação que envolva valores inferiores a R$ 50.000,00 (cinquenta mil reais), no caso de outros serviços e compras",Necessário a dedetização para o controle e/ou eliminação dessas pragas e controlar o risco de incidentes e contaminação,21036002851202273,"Contratação, pelo melhor preço ofertado, de empresa especializada em prestação de serviços de controle de pragas, desinsetização e desratização em três dependências da Superintendência Federal de Agricultura, Pecuária e Abastecimento no Estado de Pernambuco – SFA-PE.",True,1,Compra sem sigilo,1,Divulgada no PNCP,3,Ato que autoriza a Contratação Direta,Não se aplica,18780.0,18780.0,2023-01-05T09:16:33,2023-01-05T09:16:33,2023-01-05T09:16:33,,,False,14133
13002506000172022,00396895000125-1-000520/2022,2022,520,00396895000125,,47089,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",,F,,E,,130025,,SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.,,PE,,RECIFE,,2611606,,00017,8,6,Dispensa,False,5,5,19,"Lei 14.133/2021, Art. 75, II","Dispensa de Licitação: para contratação que envolva valores inferiores a R$ 50.000,00 (cinquenta mil reais), no caso de outros serviços e compras","Atender demanda consumo água mineral entre os servidores desta Superintendência Federal, unidades descentralizadas/visitante",21036002852202218,"Aquisição de Água Mineral sem gás, envasada em garrafão de 20 litros, com tampa de pressão e lacre, para atender necessidades diárias desta e outras Unidades da Sede da SFA-PE e Representação em Petrolina.",True,1,Compra sem sigilo,1,Divulgada no PNCP,3,Ato que autoriza a Contratação Direta,Não se aplica,19362.0,19362.0,2023-01-05T09:36:55,2023-01-05T09:36:55,2023-01-05T09:36:55,,,False,14133
41300706000012023,02030715000112-1-000001/2023,2023,1,02030715000112,,89804,AGENCIA NACIONAL DE TELECOMUNICACOES,,F,,E,,413007,,AGENCIA NACIONAL DE TELECOMUNICACOES/PE,,PE,,RECIFE,,2611606,,00001,8,6,Dispensa,False,4,4,19,"Lei 14.133/2021, Art. 75, II","Dispensa de Licitação: para contratação que envolva valores inferiores a R$ 50.000,00 (cinquenta mil reais), no caso de outros serviços e compras","Aquisição de pequeno vulto, com licitação dispensável pelo valor.",53532000357202260,"Fornecimento de água mineral para a Gerência Regional nos Estados de Pernambuco, Paraíba e Alagoas - GR06 (Anatel Pernambuco), sob demanda, no quantitativo global estimado de 685 garrafões de 20 L, durante o exercício de 2023, nas condições estabelecidas no Aviso de Dispensa Eletrônica e seus anexos",True,1,Compra sem sigilo,1,Divulgada no PNCP,2,Aviso de Contratação Direta,Dispensa Com Disputa,6897.95,4452.5,2023-01-09T23:41:20,2023-01-09T23:41:20,2023-01-09T23:41:20,2023-01-09T23:41:19,2023-01-13T07:59:59,False,14133
41300706000022023,02030715000112-1-000002/2023,2023,2,02030715000112,,89804,AGENCIA NACIONAL DE TELECOMUNICACOES,,F,,E,,413007,,AGENCIA NACIONAL DE TELECOMUNICACOES/PE,,PE,,RECIFE,,2611606,,00002,8,6,Dispensa,False,4,4,19,"Lei 14.133/2021, Art. 75, II","Dispensa de Licitação: para contratação que envolva valores inferiores a R$ 50.000,00 (cinquenta mil reais), no caso de outros serviços e compras","Aquisição de pequeno vulto, com licitação dispensável pelo valor",53532000357202260,"Fornecimento de água mineral para a Unidade Operacional no Estado de Alagoas - UO6.1 (Anatel Alagoas), sob demanda, no quantitativo global estimado de 110 garrafões de 20 L, durante o exercício de 2023, nas condições estabelecidas no Aviso de Dispensa Eletrônica e seus anexos",True,1,Compra sem sigilo,1,Divulgada no PNCP,2,Aviso de Contratação Direta,Dispensa Com Disputa,982.3,975.7,2023-01-09T23:54:54,2023-01-09T23:54:54,2023-01-09T23:54:54,2023-01-09T23:54:53,2023-01-13T07:59:59,False,14133
41300706000032023,02030715000112-1-000003/2023,2023,3,02030715000112,,89804,AGENCIA NACIONAL DE TELECOMUNICACOES,,F,,E,,413007,,AGENCIA NACIONAL DE TELECOMUNICACOES/PE,,PE,,RECIFE,,2611606,,00003,8,6,Dispensa,False,4,4,19,"Lei 14.133/2021, Art. 75, II","Dispensa de Licitação: para contratação que envolva valores inferiores a R$ 50.000,00 (cinquenta mil reais), no caso de outros serviços e compras","Aquisição de pequeno vulto, com licitação dispensável pelo valor",53532000357202260,"Fornecimento de água mineral para a Unidade Operacional no Estado da Paraíba - UO6.2 (Anatel Paraíba), sob demanda, no quantitativo global estimado de 140 garrafões de 20 L, durante o exercício de 2023, nas condições estabelecidas no Aviso de Dispensa Eletrônica e seus anexos",True,1,Compra sem sigilo,1,Divulgada no PNCP,2,Aviso de Contratação Direta,Dispensa Com Disputa,1421.0,1393.0,2023-01-10T00:02:02,2023-01-10T00:02:02,2023-01-10T00:02:02,2023-01-10T00:02:02,2023-01-13T07:59:59,False,14133
